 run t     E0   PHMS  THHMS  PSHMS THSHMS  BCM4A livetm tkeffe tkeffp cutcut  ratee  ratep eleccleane eleccleanp  BCM1 Livtim2  pscef  hscef elreal   
3462 3 10.601 -5.240 13.505  2.485 11.995 70.696 88.310  0.996  0.998 38.901   10670  402340  11117004   5943899  70.26 37.931  0.886  0.467  100.5
3700 3 10.601 -5.240 13.505  2.485 11.995 55.958 88.500  0.996  0.998 41.368   10612  399873   8774758   4751717  59.09 37.566  0.896  0.467  102.5
3463 1 10.601 -5.240 13.505  2.485 11.995 18.846 85.220  0.997  0.998 14.636   10840  520508   8149535   5828731  18.75 13.973  0.859  0.467  133.6
3465 1 10.601 -5.240 13.505  2.485 11.995 16.714 84.750  0.997  0.998 14.708   10883  523670   7156349   5043310  16.49 10.560  0.890  0.467  101.3
3466 1 10.601 -5.240 13.505  2.485 11.995 18.017 84.890  0.997  0.998 14.782   10952  525858   7789550   5418929  17.91 14.580  0.851  0.467  139.6
3467 1 10.601 -5.240 13.505  2.485 11.995 18.397 85.450  0.997  0.998 14.749   10929  524510   7935568   5523991  18.24 12.242  0.879  0.467  117.1
3701 1 10.601 -5.240 13.505  2.485 11.995 31.676 88.040  0.997  0.998 13.735    9513  458825  13695378  10114516  33.56 13.166  0.885  0.467  130.2
3702 1 10.601 -5.240 13.505  2.485 11.995 31.132 87.430  0.997  0.998 13.803    9552  460781  13413031  10757099  32.88 12.094  0.890  0.467  120.6
3703 1 10.601 -5.240 13.505  2.485 11.995 23.263 87.640  0.997  0.998 13.695    9490  457822  10045940   8171209  24.61 13.255  0.880  0.467  132.6
3470 1 10.601 -5.240 13.505  2.485 14.000 20.328 89.840  0.997  0.998 13.684   10139  325948   8791595   3856147  20.21 13.400  0.900  0.467   81.4
3471 1 10.601 -5.240 13.505  2.485 14.000 31.875 81.250  0.996  0.998 21.378   15799  503143  13668121   6638122  31.62 19.398  0.830  0.467  118.0
3472 1 10.601 -5.240 13.505  2.485 14.000 41.114 82.260  0.996  0.998 21.343   15773  502676  17622155   8571213  40.76 20.401  0.830  0.467  124.1
3473 2 10.601 -5.240 13.505  2.485 14.000  3.266 81.010  0.996  0.998 11.583   17171  530380   2545616   1511689   3.13  4.980  0.918  0.467   60.4
3474 2 10.601 -5.240 13.505  2.485 14.000 11.706 80.610  0.996  0.998 11.494   17021  525143   9430265   4843714  11.56  9.443  0.841  0.467  112.8
3475 2 10.601 -5.240 13.505  2.485 14.000 16.322 81.180  0.996  0.998 11.396   16871  521886  12912481   6853608  15.88  6.525  0.892  0.467   78.2
3476 2 10.601 -5.240 13.505  2.485 14.000 24.451 80.200  0.996  0.998 11.550   17125  528710  19742641  10119851  24.23 10.178  0.826  0.467  121.3
3477 2 10.601 -5.240 13.505  2.485 14.000 18.962 80.130  0.996  0.998 11.676   17294  534112  15339236   8070346  18.85 11.344  0.807  0.467  135.6
3478 3 10.601 -5.240 13.505  2.485 14.000 50.353 91.340  0.996  0.998 37.354   10225  258642   7867514   2687908  49.85 30.168  0.930  0.467   50.7
3479 3 10.601 -5.240 13.505  2.485 16.000 72.120 93.770  0.995  0.998 37.807   10357  177666  11287703   2208502  71.45 34.479  0.943  0.467   37.3
3480 2 10.601 -5.240 13.505  2.485 16.000 38.567 71.770  0.995  0.998 19.177   28421  566777  31069422   9994498  38.29 18.479  0.728  0.467  137.2
3483 2 10.601 -5.240 13.505  2.485 16.000 26.631 71.080  0.996  0.998 19.586   28857  579020  21394229   6923450  26.43 19.198  0.717  0.467  142.1
3484 2 10.601 -5.240 13.505  2.485 16.000 16.614 72.510  0.996  0.998 18.789   27808  554844  13149061   4123568  16.20  8.961  0.869  0.467   66.1
3486 2 10.601 -5.240 13.505  2.485 16.000 31.309 71.660  0.996  0.998 19.298   28590  569947  25070055   8250462  30.93 17.065  0.749  0.467  127.6
3487 2 10.601 -5.240 13.505  2.485 16.000 24.668 71.630  0.996  0.998 19.353   28628  571547  19851083   6465774  24.48 18.707  0.726  0.467  139.4
3489 3 10.601 -5.240 13.505  2.485 16.000 14.414 97.410  0.996  0.998 19.477    5379   92609   2284131    400556  14.30 19.477  0.974  0.467   21.2
3490 3 10.601 -5.240 13.505  2.485 16.000  8.270 97.270  0.991  0.998 19.179    5304   91187   1303992    224416   8.14 11.892  0.983  0.467   12.9
3491 3 10.601 -5.240 13.505  2.485 16.000 29.262 97.270  0.996  0.998 19.296    5327   91706   4636394    805352  29.00 16.069  0.977  0.467   17.4
3492 1 10.601 -5.240 13.505  2.485 16.000 27.164 88.200  0.996  0.998 19.216   14235  299474  11700303   3114873  26.97 17.855  0.890  0.467   68.1
3493 1 10.601 -5.240 13.505  2.485 16.000 28.882 87.970  0.996  0.998 19.044   14095  296637  12373321   3511128  28.50 13.753  0.913  0.467   52.8
3494 1 10.601 -5.240 13.505  2.485 16.000 40.374 88.040  0.996  0.998 19.308   14332  301082  17416944   4899181  40.08 18.827  0.883  0.467   72.4
3497 1 10.601 -5.240 13.505  2.485 17.990 43.082 78.330  0.995  0.998 38.004   28161  379674  18385739   3510881  42.76 34.355  0.804  0.467   81.5
3498 1 10.601 -5.240 13.505  2.485 17.990 36.080 78.080  0.995  0.998 38.332   28411  383107  15383581   2908008  35.77 31.645  0.819  0.467   75.0
3499 1 10.601 -5.240 13.505  2.485 17.990 40.011 78.060  0.995  0.998 38.123   28204  380386  17047217   3197084  39.65 33.408  0.808  0.467   79.4
3500 3 10.601 -5.240 13.505  2.485 17.990 15.994 95.600  0.995  0.998 33.534    9214  107266   2505504    297450  15.77 20.856  0.973  0.467   14.6
3508 2 10.601 -5.240 13.505  2.485 17.990 24.129 61.080  0.995  0.998 31.508   46747  600379  19270401   4154553  23.86 22.975  0.716  0.467  106.4
3510 2 10.601 -5.240 13.505  2.485 17.990 11.686 92.510  0.995  0.998 28.298   42040  541878   9399807   1831356  11.60 28.270  0.925  0.467  129.7
3511 2 10.601 -5.240 13.505  2.485 17.990 32.440 67.750  0.995  0.998 26.722   39698  512626  25962633   5156530  32.02 17.706  0.786  0.467   81.5
3512 2 10.601 -5.240 13.505  2.485 17.990  9.549 67.900  0.995  0.998 26.370   39214  505440   7540330   1503826   9.29  9.526  0.884  0.467   43.8
3513 3 10.601 -5.240 13.505  2.485 17.990 49.257 95.080  0.995  0.998 38.192   10482  122020   7749846    879132  48.94 37.577  0.952  0.467   26.1
3514 3 10.601 -5.240 13.505  2.485 19.990 32.378 96.470  0.993  0.998 37.844   10384   82186   5090739    379243  32.13 33.451  0.969  0.467   15.1
3515 3 10.601 -5.240 13.505  2.485 19.990 29.179 96.060  0.994  0.998 37.328   10210   80868   4576073    334348  28.91 33.361  0.965  0.467   15.0
3517 1 10.601 -5.240 13.505  2.485 19.990 10.300 90.280  0.994  0.998 25.113   18638  163016   4136629    425048   9.56  3.776  0.985  0.467    5.5
3518 1 10.601 -5.240 13.505  2.485 19.990 44.838 84.320  0.994  0.998 38.229   28364  247192  19153063   1998266  44.46 36.962  0.848  0.467   53.6
3519 1 10.601 -5.240 13.505  2.485 19.990 56.192 84.000  0.994  0.998 38.189   28373  246913  24064676   2524342  55.79 37.648  0.842  0.467   54.5
3521 2 10.601 -5.240 13.505  2.485 19.990 39.206 63.090  0.993  0.997 37.450   55551  462129  31279578   3888332  38.74 23.401  0.769  0.467   66.1
3522 2 10.601 -5.240 13.505  2.485 19.990 70.833 61.890  0.993  0.997 37.930   56381  469287  56668256   6814617  70.19 32.572  0.673  0.467   91.4
3523 2 10.601 -5.240 13.505  2.485 19.990 24.111 62.250  0.993  0.997 38.182   56825  472536  19336900   2285221  23.91 35.450  0.650  0.467   99.2
3524 2 10.601 -5.240 13.505  2.485 22.020 39.330 71.210  0.990  0.997 37.104   55034  295245  31502809   2214484  38.99 29.095  0.774  0.467   49.5
3525 2 10.601 -5.240 13.505  2.485 22.020 12.655 72.630  0.990  0.997 37.036   55045  295429  10122318    726849  12.53 25.791  0.809  0.467   44.0
3526 2 10.601 -5.240 13.505  2.485 22.020 42.041 71.050  0.990  0.997 37.488   55785  299094  33686324   2456166  41.62 26.909  0.792  0.467   46.1
3527 2 10.601 -5.240 13.505  2.485 22.020 34.364 70.700  0.990  0.997 38.205   56776  304493  27522922   2008779  34.08 31.468  0.759  0.467   53.7
3528 3 10.601 -5.240 13.505  2.485 22.020 27.962 97.040  0.995  0.998 37.671   10311   55360   4384885    214087  27.65 24.457  0.981  0.467    7.1
3529 3 10.601 -5.240 13.505  2.485 22.020 34.872 97.060  0.995  0.998 37.214   10224   54851   5475097    256908  34.46 23.551  0.981  0.467    6.8
3531 1 10.601 -5.240 13.505  2.485 22.020 74.064 86.620  0.991  0.998 39.047   29006  161132  31630489   1818722  73.33 31.098  0.893  0.467   27.0
3533 1 10.601 -5.240 13.505  2.485 22.020 81.926 85.980  0.992  0.998 42.683   31664  175684  34926886   1963139  81.13 30.822  0.899  0.467   26.6
3534 1 10.601 -5.240 13.505  2.485 24.025 63.341 89.270  0.989  0.997 41.521   30819  108604  26888580    890734  62.48 23.772  0.939  0.467   12.3
3535 1 10.601 -5.240 13.505  2.485 24.025 34.004 90.080  0.989  0.997 42.282   31379  110634  14461361    497800  33.62 32.112  0.925  0.467   16.7
3536 1 10.601 -5.240 13.505  2.485 24.025 54.947 89.420  0.990  0.997 42.495   31573  111226  23412651    787439  54.36 33.100  0.918  0.467   17.1
3537 3 10.601 -5.240 13.505  2.485 24.025 56.674 97.380  0.994  0.998 38.141   10475   38166   8928670    256789  56.25 35.145  0.976  0.467    6.5
3539 2 10.601 -5.240 13.505 -4.959 11.995 64.634 68.580  0.988  0.981 40.410   60028  279317  51423973 139803809  63.77 23.921  0.814  0.933   89.5
3540 2 10.601 -5.240 13.505 -4.959 11.995 35.940 68.290  0.987  0.980 41.918   62008  288678  28642067  77777028  35.51 28.514  0.784  0.933  106.7
3541 2 10.601 -5.240 13.505 -4.959 11.995 49.498 67.670  0.988  0.981 42.458   63149  294127  39574026 107353470  49.03 40.133  0.694  0.933  150.0
3542 3 10.601 -5.240 13.505 -4.959 11.995 62.561 97.060  0.992  0.987 36.459   10032   37629   9807263  27532314  61.67 22.345  0.982  0.933   15.1
3543 1 10.601 -5.240 13.505 -4.959 11.995 47.478 88.630  0.988  0.982 37.522   27838  119283  20309061  53442366  46.99 30.985  0.906  0.933   55.6
3544 1 10.601 -5.240 13.505 -4.959 11.995 46.783 87.860  0.988  0.981 37.889   28146  120695  19997176  52583381  46.30 27.103  0.913  0.933   48.5
3545 1 10.601 -5.240 13.505 -4.959 11.995 48.658 88.210  0.988  0.982 37.232   27623  118355  20810614  54773051  48.17 28.737  0.909  0.933   51.5
3546 1 10.601 -5.240 13.505 -4.959 14.000 28.776 91.700  0.986  0.977 38.191   28372   54060  12207769  13547483  28.27 17.861  0.961  0.933   13.1
3547 1 10.601 -5.240 13.505 -4.959 14.000 50.530 92.360  0.984  0.976 38.043   28180   53685  21618694  23997096  50.07 36.206  0.927  0.933   26.7
3548 1 10.601 -5.240 13.505 -4.959 14.000 56.229 92.640  0.985  0.977 38.368   28451   54256  24159903  26705997  56.00 33.856  0.935  0.933   24.9
3554 3 10.601 -5.240 13.505 -4.959 14.000 74.409 97.700  0.990  0.984 37.302   10251   17277  11727423  13536290  73.75 29.903  0.982  0.933    8.3
3556 2 10.601 -5.240 13.505 -4.959 14.000 50.522 82.770  0.984  0.975 36.745   54628  110800  40455491  45358655  50.04 27.858  0.869  0.933   42.4
3557 2 10.601 -5.240 13.505 -4.959 14.000 64.412 82.960  0.984  0.975 37.323   55473  112537  51677263  57838607  63.87 33.254  0.848  0.933   50.6
3558 2 10.601 -5.240 13.505 -4.959 14.000 13.016 84.570  0.984  0.975 34.972   52026  105106  10074791  11283659  12.47  7.309  0.968  0.933   11.1
3559 2 10.601 -5.240 13.505 -3.309 14.000 50.838 64.930  0.995  0.992 38.027   56611  412419  40818114  51765670  50.42 30.891  0.715  0.623  132.6
3560 2 10.601 -5.240 13.505 -3.309 14.000 46.505 65.260  0.995  0.992 37.632   56006  408049  37311317  47019928  46.12 31.808  0.706  0.623  136.1
3561 2 10.601 -5.240 13.505 -3.309 14.000 58.820 64.060  0.995  0.992 38.296   57013  415575  47165531  59373659  58.26 32.198  0.698  0.623  137.9
3562 3 10.601 -5.240 13.505 -3.309 14.000 55.973 96.330  0.995  0.993 38.093   10471   58499   8806751  10940698  55.36 31.057  0.970  0.623   20.2
3563 1 10.601 -5.240 13.505 -3.309 14.000 42.975 83.360  0.995  0.992 43.351   32294  206772  18370636  21705750  42.54 36.726  0.859  0.623   69.3
3565 1 10.601 -5.240 13.505 -3.309 14.000 56.642 84.220  0.995  0.992 40.425   30022  192099  24218874  28718618  56.06 25.656  0.900  0.623   48.6
3566 1 10.601 -5.240 13.505 -3.309 14.000 54.112 83.800  0.995  0.992 41.889   31174  199583  23188820  27510068  53.70 38.242  0.852  0.623   72.5
3567 1 10.601 -5.240 13.505 -3.309 12.000 47.538 75.430  0.995  0.992 41.532   30878  393845  20319434  47871965  47.04 30.748  0.818  0.623  118.4
3568 1 10.601 -5.240 13.505 -3.309 12.000 54.942 76.180  0.995  0.992 39.478   29395  374650  23486606  55161034  54.35 30.474  0.816  0.623  117.4
3569 1 10.601 -5.240 13.505 -3.309 12.000 52.179 75.000  0.995  0.992 41.793   31094  396545  22336626  52518729  51.68 36.871  0.779  0.623  142.3
3570 3 10.601 -5.240 13.505 -3.309 12.000 35.123 95.190  0.995  0.992 38.529   10619  112675   5535455  13660050  34.73 27.597  0.966  0.623   35.1
3573 2 10.601 -5.240 13.505 -3.309 12.000 31.811 69.330  0.996  0.993 24.013   35756  503783  25727688  64552195  31.55 23.198  0.704  0.623  200.1
3574 2 10.601 -5.240 13.505 -3.309 12.000 34.560 70.250  0.996  0.993 23.931   35626  502035  27961585  70034925  34.30 22.364  0.722  0.623  193.2
3575 2 10.601 -5.240 13.505 -3.309 12.000 20.829 70.160  0.996  0.993 24.033   35772  504154  16839638  42198182  20.66 23.349  0.710  0.623  202.4
3576 2 10.601 -5.240 13.505 -3.309 12.000  2.995 70.320  0.996  0.993 24.114   35926  505931   2425686   6104213   2.97 24.114  0.703  0.623  209.4
3577 2 10.601 -5.240 13.505 -3.309 12.000 27.591 70.560  0.995  0.993 23.529   35037  494039  22208221  56014579  27.24 17.219  0.785  0.623  149.9
3579 2 10.601 -5.240 13.505 -2.485 12.000 16.199 19.480  0.995  0.996 11.530   17190  506391  13105507  33135886  15.96  8.835  0.383  0.467  137.6
3581 2 10.601 -5.240 13.505 -2.485 12.000  7.234 81.970  0.995  0.996 11.565   17239  507787   5879660  14920789   7.16 10.036  0.844  0.467  156.7
3582 2 10.601 -5.240 13.505 -2.485 12.000 21.728 81.810  0.995  0.997 11.513   17151  505335  17707917  45120712  21.58 10.904  0.828  0.467  170.4
3583 2 10.601 -5.240 13.505 -2.485 12.000 21.809 82.360  0.995  0.996 11.575   17248  507850  17780986  45301053  21.66 11.037  0.832  0.467  172.9
3584 2 10.601 -5.240 13.505 -2.485 12.000 22.186 82.230  0.995  0.996 11.520   17167  505686  17902806  45509024  21.81  8.317  0.872  0.467  130.3
3585 3 10.601 -5.240 13.505 -2.485 12.000 56.107 93.330  0.994  0.996 34.616    9539  210306   8852178  21439521  55.48 26.763  0.948  0.467   58.7
3586 1 10.601 -5.240 13.505 -2.485 12.000 35.659 82.310  0.995  0.996 23.419   17445  451803  15337242  36297610  35.18 17.767  0.866  0.467  122.0
3587 1 10.601 -5.240 13.505 -2.485 12.000 35.338 82.100  0.995  0.996 23.604   17574  454926  15252301  35687012  34.99 20.354  0.846  0.467  138.8
3588 1 10.601 -5.240 13.505 -2.485 12.000 34.411 82.200  0.994  0.996 23.351   17323  448711  14805526  34708013  33.99 16.555  0.874  0.467  113.0
3589 1 10.601 -5.240 13.505 -2.485 14.000 42.678 78.630  0.994  0.996 35.917   26749  402496  18314593  23393286  42.26 27.653  0.835  0.467  108.0
3591 1 10.601 -5.240 13.505 -2.485 14.000 44.499 77.320  0.994  0.996 37.406   27896  420208  19093308  25089795  44.06 35.269  0.786  0.467  139.1
3592 1 10.601 -5.240 13.505 -2.485 14.000 42.077 77.810  0.994  0.996 36.497   27255  410454  18072049  23973166  41.65 32.291  0.804  0.467  128.2
3593 3 10.601 -5.240 13.505 -2.485 14.000 55.297 95.370  0.993  0.996 37.974   10470  133136   8733723  11338783  54.78 33.194  0.960  0.467   41.7
3594 2 10.601 -5.240 13.505 -2.485 14.000 31.338 74.860  0.994  0.996 19.451   28982  499001  25474247  35690393  31.14 18.812  0.757  0.467  171.1
3595 2 10.601 -5.240 13.505 -2.485 14.000 32.616 75.020  0.994  0.996 19.251   28690  493756  26448659  36681765  32.34 18.433  0.761  0.467  167.6
3596 2 10.601 -5.240 13.505 -2.485 14.000 31.617 75.760  0.994  0.996 19.233   28676  493543  25558056  35819361  31.22 14.345  0.819  0.467  131.0
3597 2 10.601 -5.240 13.505 -2.485 16.003 37.080 71.370  0.994  0.996 27.903   41511  418948  29890669  24185813  36.71 24.035  0.753  0.467  127.5
3598 2 10.601 -5.240 13.505 -2.485 16.003 37.215 71.270  0.994  0.996 28.734   42796  431917  29861318  23893003  36.68 16.590  0.834  0.467   87.6
3599 2 10.601 -5.240 13.505 -2.485 16.003 36.922 71.130  0.993  0.996 28.424   42341  427399  29826242  24182190  36.64 25.299  0.743  0.467  134.2
3600 3 10.601 -5.240 13.505 -2.485 16.003 53.042 96.730  0.993  0.996 36.354   10015   76123   8379181   6142695  52.55 31.000  0.972  0.467   23.1
3601 1 10.601 -5.240 13.505 -2.485 16.003 42.264 85.000  0.992  0.996 37.556   28013  244496  18165249  13319066  41.89 33.079  0.868  0.467   75.3
3602 1 10.601 -5.240 13.505 -2.485 16.003  8.592 84.480  0.993  0.996 37.215   27749  242241   3636859   2672049   8.39 14.511  0.939  0.467   33.1
3613 1 10.601 -5.240 13.505 -2.485 16.003 46.710 84.120  0.993  0.996 38.874   28904  252049  19916739  14598303  46.06 24.289  0.901  0.467   54.8
3616 1 10.601 -5.240 13.505 -2.485 16.003 49.836 84.520  0.993  0.996 38.681   28747  250675  21304010  15529993  49.33 32.093  0.872  0.467   72.4
3617 1 10.601 -5.240 13.505 -2.485 18.015 65.968 81.480  0.992  0.995 56.123   41701  210697  27912961  11837056  65.23 45.727  0.849  0.467   58.6
3618 1 10.601 -5.240 13.505 -2.485 18.015 63.786 81.670  0.992  0.995 55.904   41533  209878  26970550  11446852  63.03 47.729  0.843  0.467   61.2
3619 1 10.601 -5.240 13.505 -2.485 18.015 46.494 80.970  0.992  0.995 58.170   43216  218382  19674135   8331593  45.99 55.800  0.817  0.467   71.4
3620 3 10.601 -5.240 13.505 -2.485 18.015 38.874 97.160  0.992  0.996 39.119   10743   49300   6118786   2558684  38.55 38.303  0.972  0.467   17.0
3621 3 10.601 -5.240 13.505 -2.485 18.015 38.461 97.530  0.993  0.996 38.909   10685   49000   6056877   2530237  38.14 36.175  0.977  0.467   16.0
3633 3 10.601 -5.240 13.505 -2.485 18.020 35.224 98.270  0.993  0.996 29.467    8113   37144   5562669   2309564  34.89 28.172  0.983  0.467   12.6
3622 2 10.601 -5.240 13.505 -2.485 18.015 60.926 55.240  0.992  0.995 53.776   80074  472955  48439733  23063023  60.23 38.677  0.678  0.467  117.9
3623 2 10.601 -5.240 13.505 -2.485 18.015 48.790 55.530  0.993  0.996 53.737   80098  472883  38790396  18575108  48.20 39.778  0.671  0.467  121.7
3624 2 10.601 -5.240 13.505 -2.485 18.015 60.797 57.200  0.992  0.996 52.487   78244  461991  48461356  22994649  60.15 48.572  0.604  0.467  148.3
3625 2 10.601 -5.240 13.505 -2.485 20.015 77.626 69.570  0.991  0.995 50.475   75190  263292  61925646  16656173  76.83 41.882  0.748  0.467   74.0
3626 2 10.601 -5.240 13.505 -2.485 20.015 55.642 72.090  0.991  0.995 47.809   71049  248721  44329893  11918483  54.96 33.418  0.805  0.467   59.2
3627 2 10.601 -5.240 13.505 -2.485 20.015 46.469 71.100  0.990  0.995 49.119   73155  256029  37142639  10113639  46.03 48.043  0.717  0.467   85.3
3628 3 10.601 -5.240 13.505 -2.485 20.015 66.517 98.190  0.993  0.996 39.381   10814   30153  10467287   2588272  65.79 35.826  0.984  0.467    9.6
3630 1 10.601 -5.240 13.505 -2.485 20.015 55.291 86.870  0.990  0.995 57.744   42859  125836  23404572   5751932  54.72 54.556  0.876  0.467   40.5
3631 1 10.601 -5.240 13.505 -2.485 20.015 52.956 86.920  0.990  0.995 57.523   42682  125293  22429464   5526187  52.46 54.750  0.875  0.467   40.6
3632 1 10.601 -5.240 13.505 -2.485 20.015 56.555 87.700  0.990  0.995 58.190   43167  126682  23951669   5900532  56.04 55.032  0.884  0.467   40.8
3634 1 10.601 -5.240 13.505 -2.485 22.020 73.705 90.820  0.988  0.994 58.304   43280   73674  31201673   4586046  72.92 56.780  0.911  0.467   24.2
3635 1 10.601 -5.240 13.505 -2.485 22.020 48.821 91.010  0.987  0.994 57.354   42569   72449  20667598   3029872  48.28 49.455  0.922  0.467   21.0
3636 1 10.601 -5.240 13.505 -2.485 22.020 54.051 90.230  0.987  0.994 57.529   42693   72653  22894977   3349497  53.52 53.746  0.909  0.467   22.8
